id,gender,khmer_name
1,male,សៅ ជា
2,male,ស្បោង ចន្ថា
3,female,ឆោម សារិទ្ធ
4,male,ទាវ រតនា
5,male,ដាញ់ ងិន
6,female,សម វណ្ណា
7,male,សុន សាំភេះ
8,male,សោម ម៉េង
9,male,ងិន ណាត់
10,male,ឡាយ ពិសិដ្ឋ
11,female,សៅ រ៉ន
12,female,ឱ ផល្លា
13,male,សេន វណ្ណា
14,male,សរ រស្មី
15,male,សៅ ជឿត
16,female,សឺន រតនា
17,male,ឆាយ ភារៈ
18,female,តាង ពាង់
19,male,ដួង ពិជ
20,female,ចុក សៀន
21,female,ងិន យ៉ាន
22,male,ជាម មាស
23,male,សិន សេង
24,male,កែប ទិព្វសព្ទ
25,female,មូល វឌ្ឍនា
26,male,ទូច ព្រះ
27,male,ស៊ន សារិទ្ធ
28,female,ហុក ចាន់ធី
29,male,ឱ ង៉ុយ
30,female,សូ លក្ស្មី
31,female,អ៊ុំ សោភា
32,male,មួយ លី
33,female,ជិន សូរិយា
34,female,សិន សុជាតា
35,female,សរ ភាក្គ្លី
36,male,ស៊ី សំណាង
37,female,ដួង ឈិត
38,female,ឌួង លីនដា
39,female,ឌុល ហាន់
40,female,រស់ កែវមនី
41,male,ឱក ស៊ីណា
42,female,ចន្ទ ទេព
43,female,ភី កែវមនី
44,male,ឈឹម កែវ
45,female,ប៉ុក សម្បត្តិ
46,female,រួយ ធា
47,female,ដាញ់ សេង
48,male,សេង សំ
49,female,លិម ចន្ថា
50,male,ស៊ន វណ្ណា
51,female,ក្រម ពាង់
52,female,សាត សម្បត្តិ
53,male,អ៊ុយ ណាត់
54,female,មូល សុផាត
55,male,ឡាយ អន
56,male,ជី សំណាង
57,male,សួន វាសនា
58,male,សឿង ចាន់ណា
59,female,អ៊ុំ ទូច
60,female,ចេន ចំប៉ី
61,female,សៀង វណ្ណា
62,male,ហុង ជឿត
63,female,នី ម៉ូនីកា
64,female,សែន រៅំឌើល
65,male,សែន ទឹក
66,male,តាំង សុធី
67,female,លី រ៉ន
68,female,ដួង ស៊ីវន
69,male,ឡាយ រ៉ន
70,female,មួយ សាត
71,male,ជិន ណែន
72,male,មូល សុមេធា
73,male,ឃាង សារិទ្ធ
74,male,ប៉ាង ស៊ីន
75,male,លិម សេង
76,female,វង្ស សុផល
77,male,ទូច សុខ
78,male,លីម កែវ
79,male,សឺន សារឿន
80,female,រ៉ន រឿន
81,male,ឈិន សមាត្រ
82,male,ហ៊ឹម ប៊ុន
83,male,ក្រម ឡុង
84,female,ស្រី ណាត់
85,female,លន់ លីហ្សា
86,female,សន រតនា
87,female,លី ម៉ៅ
88,female,អ៊ូ ទូច
89,female,យស់ ស្រីនួន
90,male,អ៊ុច ឫទ្ធិ
91,female,គួច សាវ៉េត
92,female,សឿង ស្រីនួន
93,male,អិម វណ្ណា
94,female,សៅ ម៉ម
95,male,ប៊ុន សាម៉ន
96,male,រស់ រ៉ន
97,male,សាត សំណាង
98,female,ជ័យ ទូច
99,female,ឱម ស៊ីណាត
100,female,ជាម ចិន្តា
101,male,លីម សាំភេះ
102,male,ឌួង សំ
103,female,ឱ សាវឿន
104,male,រ៉េត សារ៉េត
105,female,ក្រម ផល្លា
106,female,អ៊ូ ឈូក
107,female,ទាវ កែវមនី
108,male,ឈិត និស្ស័យ
109,male,ហ៊ុន គឹម
110,male,សែន និមល
111,female,ផាន ឈូករតន៍
112,female,ឈិន បូណ៌មី
113,female,កាំង បទុម
114,male,អៀវ ហ៊ិន
115,female,ទី សារឿន
116,male,ស្រី ងិន
117,male,ឆន សុភា
118,male,ឈិត រិន
119,female,សម សារឿន
120,female,មូល ច័ន្ទមុនី
121,female,សេង ធារី
122,female,សង មណី
123,male,ជា សារឿន
124,female,ពិជ ទូច
125,female,យុន សូរិយា
126,female,អ៊ូ បញ្ញា
127,female,ស៊ន ហ៊ឹម
128,female,រ៉ន ងិន
129,female,ខាត់ បទុម
130,male,សាន់ ពិរុណ
131,male,ហ៊ិន សម្ផស្ស
132,female,ឌួង ហ៊ិន
133,male,រស់ លាង
134,female,កាំង អម្ពរ
135,female,អិម ណាត់
136,male,ស៊ន វាសនា
137,male,រ៉ន ទឹក
138,male,ឈឹម សុវណ្ណា
139,male,រ៉ន មណី
140,male,ស រិន
141,female,ថៃ ចិន្តា
142,female,ខាត់ ទូច
143,male,សាន ក្រម
144,female,ហុក សារិន
145,female,កឹម សុជាតា
146,female,សង សែកា
147,female,ចុក កែវ
148,male,មាន រ៉ាយ
149,male,សម រតនា
150,female,សង លក្ស្មី
151,female,ខៀវ មណី
152,female,អ៊ូ សឺម៉ន
153,male,ឃីម ង៉ុយ
154,female,ស្បោង សាវ៉េត
